dt_cmdty;cmdty_vl_rs_um;cmdty_var_mes_perc
2023-01-01;316.7403720000001;0.0%
2023-02-01;318.46022400000004;0.0%
2023-03-01;307.75378;0.0%
2023-04-01;306.0348;0.0%
2023-05-01;285.912571;0.0%
2023-06-01;286.123635;0.0%
2023-07-01;271.702473;0.0%
2023-08-01;238.20916;0.0%
2023-09-01;229.18156800000003;0.0%
2023-10-01;255.91584000000003;0.0%
2023-11-01;255.249888;0.0%
2023-12-01;253.91798400000002;0.0%
2024-01-01;252.91905600000004;0.0%
2024-02-01;250.94498399999998;-0.0%
2024-03-01;250.56444000000002;0.0%
2024-04-01;241.966347;0.0%
2024-05-01;240.90600099999997;-0.0%
2024-06-01;240.42192999999997;-0.0%
2024-07-01;239.545992;0.0%
2024-08-01;244.331758;0.0%
2024-09-01;264.39074999999997;-0.0%
2024-10-01;309.983222;0.0%
2024-11-01;347.39838000000003;0.0%
2024-12-01;326.832699;0.0%
2025-01-01;326.32017099999996;-0.0%
2025-02-01;322.123848;0.0%
2025-03-01;312.47;0.0%
